epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,271.644,1.44011,1.05337,1.32842,0.63213,0.36109,0.37924,0.14692,2.32573,2.01641,1.88699,0.0700188,0.00333124,0.00333124
2,451.886,1.38453,0.90024,1.297,0.62532,0.46577,0.4923,0.2023,1.98523,1.4795,1.50896,0.0400123,0.00665806,0.00665806
3,629.627,1.33814,0.84081,1.26255,0.71256,0.5374,0.59459,0.25987,1.86224,1.27862,1.4186,0.00997982,0.00995888,0.00995888
4,806.144,1.31466,0.78867,1.24543,0.74217,0.55308,0.61511,0.27075,1.81343,1.2091,1.402,0.00991232,0.00991232,0.00991232
5,1007.76,1.28256,0.74383,1.22384,0.73194,0.60267,0.62421,0.28412,1.74465,1.16146,1.35331,0.00984449,0.00984449,0.00984449
6,1199.03,1.26318,0.71731,1.21213,0.7627,0.60839,0.66599,0.30827,1.74351,1.08393,1.31821,0.00975773,0.00975773,0.00975773
7,1375.82,1.25094,0.69465,1.20197,0.76531,0.60947,0.66664,0.29463,1.74638,1.09452,1.31594,0.00965239,0.00965239,0.00965239
8,1552.15,1.24269,0.68357,1.19525,0.77927,0.65035,0.69711,0.32097,1.68955,1.0424,1.30081,0.00952889,0.00952889,0.00952889
9,1728.65,1.22881,0.6619,1.18104,0.7873,0.65099,0.70792,0.33132,1.66486,1.00072,1.25033,0.00938772,0.00938772,0.00938772
10,1905.21,1.21551,0.64712,1.1784,0.77117,0.66416,0.71231,0.34605,1.61486,0.98343,1.2497,0.00922942,0.00922942,0.00922942
11,2080.26,1.21345,0.63984,1.17087,0.76667,0.69768,0.72687,0.3481,1.61699,0.95813,1.23848,0.00905463,0.00905463,0.00905463
12,2254.1,1.20252,0.62687,1.15997,0.76468,0.72028,0.74754,0.35384,1.63084,0.92514,1.24373,0.00886404,0.00886404,0.00886404
13,2427.66,1.20074,0.61923,1.16125,0.79461,0.7108,0.74875,0.35359,1.65178,0.90426,1.23516,0.00865839,0.00865839,0.00865839
14,2601.52,1.1922,0.6142,1.15695,0.783,0.70312,0.74455,0.36747,1.58975,0.9107,1.21899,0.00843851,0.00843851,0.00843851
15,2774.95,1.18496,0.60642,1.15057,0.79642,0.72918,0.76497,0.37053,1.58303,0.89268,1.21598,0.00820525,0.00820525,0.00820525
16,2948.57,1.1813,0.59332,1.14835,0.81955,0.7276,0.77282,0.37066,1.59069,0.87484,1.21366,0.00795954,0.00795954,0.00795954
17,3122.05,1.17461,0.59122,1.14479,0.80507,0.73172,0.76608,0.38008,1.56992,0.85542,1.20014,0.00770234,0.00770234,0.00770234
18,3295.62,1.16548,0.57783,1.13861,0.81692,0.71767,0.77365,0.38487,1.56597,0.84169,1.20217,0.00743468,0.00743468,0.00743468
19,3468.98,1.1651,0.57736,1.1387,0.81023,0.72201,0.77149,0.3824,1.54685,0.84501,1.181,0.00715761,0.00715761,0.00715761
20,3642.56,1.15558,0.56542,1.13154,0.79362,0.74805,0.77541,0.38943,1.54585,0.83095,1.18357,0.00687222,0.00687222,0.00687222
21,3816.02,1.15391,0.56423,1.13017,0.83428,0.74062,0.7837,0.3927,1.545,0.8244,1.1839,0.00657963,0.00657963,0.00657963
